Time,Total
2022/3/1,5
2022/3/2,4
2022/3/3,3
2022/3/4,3
2022/3/5,3
2022/3/6,4
2022/3/7,16
2022/3/8,25
2022/3/9,30
2022/3/10,49
2022/3/11,71
2022/3/12,72
2022/3/13,82
2022/3/14,86
2022/3/15,77
2022/3/16,85
2022/3/17,116
2022/3/18,216
2022/3/19,171
2022/3/20,205
2022/3/21,192
2022/3/22,354
2022/3/23,594
2022/3/24,807
2022/3/25,1055
2022/3/26,1064
2022/3/27,1104
2022/3/28,1437
2022/3/29,2451
2022/3/30,3141
2022/3/31,3775
2022/4/1,5005
2022/4/2,6123
2022/4/3,6212
2022/4/4,4720
2022/4/5,5001
2022/4/6,8231
2022/4/7,10271
2022/4/8,13041
2022/4/9,19676
2022/4/10,22708
2022/4/11,23788
2022/4/12,24232
2022/4/13,26337
2022/4/14,26737
2022/4/15,25555
2022/4/16,24452
2022/4/17,28046
2022/4/18,25080
2022/4/19,20792
2022/4/20,22202
2022/4/21,21810
2022/4/22,18421
2022/4/23,16895
2022/4/24,16969
2022/4/25,17984
2022/4/26,20642
2022/4/27,23809
2022/4/28,18609
2022/4/29,14676
2022/4/30,10837
2022/5/1,8104
2022/5/2,7724
2022/5/3,8333
2022/5/4,6924
2022/5/5,5439
2022/5/6,4984
2022/5/7,4048
2022/5/8,3824
2022/5/9,3769
2022/5/10,3736
2022/5/11,3776
2022/5/12,3368
2022/5/13,2427
2022/5/14,1183
2022/5/15,740
2022/5/16,1366
2022/5/17,1767
2022/5/18,1087
2022/5/19,747
2022/5/20,569
2022/5/21,614
2022/5/22,677
2022/5/23,686
2022/5/24,817
2022/5/25,659
2022/5/26,425
2022/5/27,372
2022/5/28,295
2022/5/29,231
2022/5/30,170
2022/5/31,93
2022/6/1,44
2022/6/2,20
2022/6/3,6
2022/6/4,2
2022/6/5,2
2022/6/6,4
2022/6/7,8
2022/6/8,12
2022/6/9,13
2022/6/10,5
2022/6/11,10
2022/6/12,12
2022/6/13,8
2022/6/14,16
2022/6/15,30
2022/6/16,43
2022/6/17,25
2022/6/18,8
2022/6/19,8
2022/6/20,6
2022/6/21,3
2022/6/22,8
2022/6/23,12
2022/6/24,13
2022/6/25,7
2022/6/26,5
2022/6/27,2
2022/6/28,0
2022/6/29,0
2022/6/30,1
2022/7/1,1
2022/7/2,0
2022/7/3,0
2022/7/4,0
2022/7/5,0
2022/7/6,0
2022/7/7,6
