,time,infection
1,2022/2/24,5
2,2022/2/25,4
3,2022/2/26,3
4,2022/2/27,3
5,2022/2/28,3
6,2022/3/1,4
7,2022/3/2,16
8,2022/3/3,25
9,2022/3/4,30
10,2022/3/5,49
11,2022/3/6,71
12,2022/3/7,72
13,2022/3/8,82
14,2022/3/9,86
15,2022/3/10,77
16,2022/3/11,85
17,2022/3/12,116
18,2022/3/13,216
19,2022/3/14,171
20,2022/3/15,205
21,2022/3/16,192
22,2022/3/17,354
23,2022/3/18,594
24,2022/3/19,807
25,2022/3/20,1055
26,2022/3/21,1064
27,2022/3/22,1104
28,2022/3/23,1437
29,2022/3/24,2451
30,2022/3/25,3141
31,2022/3/26,3775
32,2022/3/27,5005
33,2022/3/28,6123
34,2022/3/29,6212
35,2022/3/30,4720
36,2022/3/31,5001
37,2022/4/1,8231
38,2022/4/2,10271
39,2022/4/3,13041
40,2022/4/4,19676
41,2022/4/5,22708
42,2022/4/6,23788
43,2022/4/7,24232
44,2022/4/8,26337
45,2022/4/9,26737
46,2022/4/10,25555
47,2022/4/11,24452
48,2022/4/12,28046
49,2022/4/13,25080
50,2022/4/14,20792
51,2022/4/15,22202
52,2022/4/16,21810
53,2022/4/17,18421
54,2022/4/18,16895
55,2022/4/19,16969
56,2022/4/20,17984
57,2022/4/21,20642
58,2022/4/22,23809
59,2022/4/23,18609
60,2022/4/24,14676
61,2022/4/25,10837
62,2022/4/26,8104
63,2022/4/27,7724
64,2022/4/28,8333
65,2022/4/29,6924
66,2022/4/30,5439
67,2022/5/1,4984
68,2022/5/2,4048
69,2022/5/3,3824
70,2022/5/4,3769
71,2022/5/5,3736
72,2022/5/6,3776
73,2022/5/7,3368
74,2022/5/8,2427
75,2022/5/9,1183
76,2022/5/10,740
77,2022/5/11,1366
78,2022/5/12,1767
79,2022/5/13,1087
80,2022/5/14,747
81,2022/5/15,569
82,2022/5/16,614
83,2022/5/17,677
84,2022/5/18,686
85,2022/5/19,817
86,2022/5/20,659
87,2022/5/21,425
88,2022/5/22,372
89,2022/5/23,295
90,2022/5/24,231
91,2022/5/25,170
92,2022/5/26,93
93,2022/5/27,44
94,2022/5/28,20
95,2022/5/29,6
96,2022/5/30,2
97,2022/5/31,2
98,2022/6/1,4
99,2022/6/2,8
100,2022/6/3,12
101,2022/6/4,13
102,2022/6/5,5
103,2022/6/6,10
104,2022/6/7,12
105,2022/6/8,8
106,2022/6/9,16
107,2022/6/10,30
108,2022/6/11,43
109,2022/6/12,25
110,2022/6/13,8
111,2022/6/14,8
112,2022/6/15,6
113,2022/6/16,3
114,2022/6/17,8
115,2022/6/18,12
116,2022/6/19,13
117,2022/6/20,7
118,2022/6/21,5
119,2022/6/22,2
120,2022/6/23,0
121,2022/6/24,0
122,2022/6/25,1
123,2022/6/26,1
124,2022/6/27,0
125,2022/6/28,0
126,2022/6/29,0
127,2022/6/30,0
128,2022/7/1,0
129,2022/7/2,6
