"","time","gam","Weib","lognor"
"1",0.5,0.1503354706938,0.175349670782667,0.124680153304603
"2",0.6,0.17844520669933,0.191960951217745,0.176605864545211
"3",0.7,0.203323612713606,0.20616662386612,0.224178608244932
"4",0.8,0.224838769013632,0.218251596472683,0.264461743749683
"5",0.9,0.243011002130824,0.228429771649344,0.296363620508943
"6",1,0.257957894581175,0.236872213887752,0.319945283671476
"7",1.1,0.26985807493722,0.243722677769525,0.335900508186733
"8",1.2,0.278926632492553,0.249106691382595,0.345212633685862
"9",1.3,0.285398121968,0.253137100343725,0.348946238177469
"10",1.4,0.289514719942128,0.255917553793672,0.348130230077317
"11",1.5,0.29151797821738,0.257544739303959,0.343698903145534
"12",1.6,0.291643140208169,0.258109830554231,0.336467920931755
"13",1.7,0.290115309659974,0.257699426576905,0.32713029068797
"14",1.8,0.28714697021647,0.256396156511185,0.316263013229813
"15",1.9,0.282936494579367,0.254279061852298,0.304338793213681
"16",2,0.277667378772922,0.251423830216782,0.291739542570482
"17",2.1,0.271508005442827,0.247902930625313,0.278769863726408
"18",2.2,0.264611789482327,0.243785684671524,0.265669579004317
"19",2.3,0.257117595498597,0.239138297509656,0.25262489159192
"20",2.4,0.249150343581826,0.23402386546808,0.239778059551568
"21",2.5,0.240821740121325,0.228502372130455,0.227235624922057
"22",2.6,0.232231085818411,0.222630681203848,0.215075319665223
"23",2.7,0.223466124832725,0.2164625319548,0.203351802810127
"24",2.8,0.21460390806695,0.210048541140942,0.192101389277205
"25",2.9,0.205711650598671,0.203436213997834,0.181345922957818
"26",3,0.19684756869006,0.196669965823386,0.17109593204021
"27",3.1,0.188061686006707,0.189791154942072,0.161353187554669
"28",3.2,0.179396601928649,0.182838127262887,0.152112769009356
"29",3.3,0.170888217347534,0.175846272221812,0.143364725019407
"30",3.4,0.162566415273958,0.168848089587653,0.135095402543881
"31",3.5,0.154455695052553,0.161873266384424,0.127288505905162
"32",3.6,0.146575760096443,0.154948763025334,0.119925936132583
"33",3.7,0.138942059883402,0.148098907648596,0.112988452201604
"34",3.8,0.131566287563541,0.141345497582659,0.106456188242612
"35",3.9,0.124456834960315,0.134707906839499,0.100309054571036
"36",4,0.117619207040889,0.128203198532292,0.0945270452528412
"37",4.1,0.111056398118593,0.121846241132643,0.0890904706942723
"38",4.2,0.104769232153363,0.115649827517974,0.0839801302802873
"39",4.3,0.0987566695549986,0.109624795807931,0.0791774372521431
"40",4.4,0.0930160828839587,0.103780151046684,0.0746645057004815
"41",4.5,0.0875435037976819,0.0981231868530546,0.0704242076634108
"42",4.6,0.0823338435166206,0.092659606230463,0.0664402067823696
"43",4.7,0.0773810889912316,0.087393640801748,0.0626969737182619
"44",4.8,0.0726784768450816,0.0823281678085328,0.0591797875139519
"45",4.9,0.0682186470549044,0.0774648242896388,0.0558747262636181
"46",5,0.0639937782096314,0.0728041179270023,0.0527686497793949
"47",5.1,0.0599957060700627,0.0683455341197454,0.0498491764023348
"48",5.2,0.0562160270311834,0.0640876389167414,0.0471046556644585
"49",5.3,0.0526461879718671,0.0600281775046161,0.0445241381523211
"50",5.4,0.0492775638631014,0.0561641680111821,0.0420973436344623
"51",5.5,0.0461015243968062,0.0524919904434545,0.0398146282825661
"52",5.6,0.0431094907934396,0.0490074706344041,0.0376669516287681
"53",5.7,0.0402929838482606,0.0457059591233041,0.0356458437508312
"54",5.8,0.0376436641835914,0.0425824049408282,0.0337433730560076
"55",5.9,0.0351533655877509,0.0396314243119485,0.0319521149376862
"56",6,0.032814122240504,0.0368473643271926,0.0302651215018382
"57",6.1,0.0306181905497735,0.0342243616660408,0.028675892499103
"58",6.2,0.0285580662548258,0.0317563964852988,0.0271783475500624
"59",6.3,0.0266264973869557,0.0294373416103305,0.0257667997133891
"60",6.4,0.0248164936196197,0.0272610071882687,0.0244359304170995
"61",6.5,0.0231213324857315,0.0252211809799397,0.0231807657504749
